old_name,new_name
Whole11831_mappedstats,Whole01_mappedstats
Whole11832472_mappedstats,Whole02_mappedstats
Whole11920_mappedstats,Whole03_mappedstats
Whole1192133_mappedstats,Whole04_mappedstats
Whole11950_mappedstats,Whole05_mappedstats
Whole11968_mappedstats,Whole06_mappedstats
Whole11975_mappedstats,Whole07_mappedstats
Whole12017_mappedstats,Whole08_mappedstats
Whole12018_mappedstats,Whole09_mappedstats
Whole123521_mappedstats,Whole10_mappedstats
Whole12482_mappedstats,Whole11_mappedstats
Whole1281_mappedstats,Whole12_mappedstats
Whole13781_mappedstats,Whole13_mappedstats
Whole13782_mappedstats,Whole14_mappedstats
Whole13783_mappedstats,Whole15_mappedstats
Whole2018_mappedstats,Whole16_mappedstats
Whole45988_mappedstats,Whole17_mappedstats
Whole46808_mappedstats,Whole18_mappedstats
Whole47308_mappedstats,Whole19_mappedstats
Whole50728_mappedstats,Whole20_mappedstats
Whole51168_mappedstats,Whole21_mappedstats
Whole52938_mappedstats,Whole22_mappedstats
Whole83549_mappedstats,Whole23_mappedstats
WholeA10493_mappedstats,Whole24_mappedstats
WholeA13993_mappedstats,Whole25_mappedstats
WholeA14593_mappedstats,Whole26_mappedstats
WholeA15193_mappedstats,Whole27_mappedstats
WholeA25493_mappedstats,Whole28_mappedstats
WholeA26394_mappedstats,Whole29_mappedstats
WholeA407131_mappedstats,Whole30_mappedstats
WholeAT16162_mappedstats,Whole31_mappedstats
WholeAT16291_mappedstats,Whole32_mappedstats
WholeDH3671_mappedstats,Whole33_mappedstats
WholeN31_mappedstats,Whole34_mappedstats
WholeN55_mappedstats,Whole35_mappedstats
WholeNP15050_mappedstats,Whole36_mappedstats
WholeNP17123_mappedstats,Whole37_mappedstats
WholeRI191357_mappedstats,Whole38_mappedstats
WholeS1011_mappedstats,Whole39_mappedstats
WholeS1401_mappedstats,Whole40_mappedstats
Whole119941_mappedstats,Whole41_mappedstats
WholeA00294_mappedstats,Whole42_mappedstats
WholeA205891_mappedstats,Whole43_mappedstats
WholeA278931_mappedstats,Whole44_mappedstats
WholeHU13019_mappedstats,Whole45_mappedstats
WholeNP12078_mappedstats,Whole46_mappedstats
WholeNP18054_mappedstats,Whole47_mappedstats
